foundation_names,rating,verified_purchase,time_ago,shade,shade_depth,undertone,skin_type,skin_tone,eye_color,review_body,days_ago,clean_review_body
Hourglass Veil Hydrating Skin Tint,,No,,,,,,,,Medium with warm undertones Received samples and I’m obsessed. Light coverage but it’s beautiful. Perfect for casual days. I have oily mature skin for reference.,,medium with warm undertones received samples and i m obsessed light coverage but it s beautiful perfect for casual days i have oily mature skin for reference
Hourglass Veil Hydrating Skin Tint,5.0,Yes,17 d ago,,,,Combination,Fair,Green,"Fair with neutral undertones As a gal with older skin, I adore this product. I dont want a heavy foundation revealing every line and pore. Hourglass Skin Tint is perfection for me. Dewy, low to medium coverage that evens out my skin tone and stays put all day.",17.0,fair with neutral undertones as a gal with older skin i adore this product i dont want a heavy foundation revealing every line and pore hourglass skin tint is perfection for me dewy low to medium coverage that evens out my skin tone and stays put all day
Hourglass Veil Hydrating Skin Tint,4.0,No,17 d ago,,,,Combination,Light,Green,"Light medium with warm undertones It’s very lightweight don’t expect if you have dark spots it will be covered,imo not repurchasing.",17.0,light medium with warm undertones it s very lightweight don t expect if you have dark spots it will be covered imo not repurchasing
Haus Labs,,No,,,,,,,,"so cakey 200 Light Medium Neutral - light medium with neutral undertones Really wanted to love this. It pills everywhere on my face. It doesn’t matter what base I use, how much moisturizer I put on, or what the base component of the moisturizer is, this still builds up sooo much and looks cakey",,so cakey light medium neutral light medium with neutral undertones really wanted to love this it pills everywhere on my face it doesn t matter what base i use how much moisturizer i put on or what the base component of the moisturizer is this still builds up sooo much and looks cakey
Haus Labs,1.0,No,1 d ago,160 Light Neutral,Light,Neutral,Combination,Light Medium,Brown,light with neutral undertones Way too cakey and made me break out a ton. Don’t like this product,1.0,light with neutral undertones way too cakey and made me break out a ton don t like this product
Haus Labs,5.0,Yes,1 d ago,190 Light Olive,Light,Olive,Combination,Light Medium,Hazel,"light with olive undertones Its a perfect match leaves my sking looking natural and flawlesss! No creasing and my perfect match, the texture feels so perfect not to thick not to liquid!",1.0,light with olive undertones its a perfect match leaves my sking looking natural and flawlesss no creasing and my perfect match the texture feels so perfect not to thick not to liquid
Haus Labs,5.0,Yes,1 d ago,,,,Combination,Light Medium,Hazel,"light medium with olive undertones Its a perfect match leaves my sking looking natural and flawlesss! No creasing and my perfect match, the texture feels so perfect not to thick not to liquid!",1.0,light medium with olive undertones its a perfect match leaves my sking looking natural and flawlesss no creasing and my perfect match the texture feels so perfect not to thick not to liquid
Haus Labs,5.0,Yes,1 d ago,,,,Combination,Light Medium,Hazel,light medium with neutral undertones Its a perfect match leaves my sking looking natural and flawlesss!,1.0,light medium with neutral undertones its a perfect match leaves my sking looking natural and flawlesss
Haus Labs,5.0,No,1 d ago,500 Deep Neutral,Deep,Neutral,Oily,Fair,Hazel,"deep with neutral undertones [I received this product in exchange for my honest review] Haus labs will always be that girl foundation! Lays down perfectly, the coverage is amazing! Feels like second skin! Doesn’t get cakey! Everything you need in a foundation!",1.0,deep with neutral undertones i received this product in exchange for my honest review haus labs will always be that girl foundation lays down perfectly the coverage is amazing feels like second skin doesn t get cakey everything you need in a foundation
Haus Labs,5.0,Yes,5 h ago,110 Light Neutral,Light,Neutral,Combination,Fair,Blue,light with neutral undertones One of my favourite foundations ever. An amazing smooth coverage and one of the most blendable formulas. Paired with a glowy primer/serum you look lit within. Best used with a foundation brush imo,0.20833333333333334,light with neutral undertones one of my favourite foundations ever an amazing smooth coverage and one of the most blendable formulas paired with a glowy primer serum you look lit within best used with a foundation brush imo
